"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Brunei Darussalam","BRN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39322","","","11992243","22384796","","","53","321","977","25239183","","16386077","42372651","27278695","44238096","104629569","104099974","65481453","53165101","55449872","75036399","46102392","159575567","",
"Bhutan","BTN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233786","","","","","","","5332666","10506554","1941205","9426","439945","394616","272","58575","","","","","","",
"Botswana","BWA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12695397","5823883","12780910","14759407","12524242","16535910","15049990","15946359","20963734","24375930","14725119","44536509","61114300","24724995","16518448","35802081","27168930","49682765","",
"Central African Republic","CAF","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312121","82962","242868","161960","131626","186866","105276","45183","473757","31511","26816","41334","19255","133540","213932","7456","897373","477838","1394","134458","1325","","","43338","29204","",
"Canada","CAN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7261374501","8343848041","10122181560","11804295892","11782688909","12304804428","14171258026","17738028951","19770469707","20981304803","21837723842","23792681720","29780009925","24138991014","22536924400","22651716240","21526068655","25351657258","26734980308","26310508820","26911377699","23210217037","23963441244","25017006457","29087234635","29025961547","26552175610","26318082109","23974176827","24220179630","",
"Central Europe and the Baltics","CEB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1697069147","3017265260","3637543337","6122015121","8177116420","9086665832","11990369881","12819673643","16534326909","20551772431","28950416189","31316820407","37728115960","44309329967","54583799693","47739472208","57632243707","69024211983","62306540908","65585865443","69246452467","63594165736","65015987103","70531165639","",
"Switzerland","CHE","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7479784332","7541571051","9277551820","8912296199","9774985529","9230687861","10344088045","13037734712","13274704634","12722195113","14136393182","16163556375","15866413327","17147574973","19694009164","23085157546","26652824516","28272674039","31113885408","35285033968","42508223136","39308607780","42679710697","50124292139","50098542757","53294077946","55906710140","53257659389","54886911951","24159696001","24769606100",
"Channel Islands","CHI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43686338","22770565","31055536","35694530","40044592","69932440","80429725","84401642","92360782","83718924","99129968","105903451","110617464","189524165","292392595","435071909","515532026","621671921","665984085","412755594","507417738","540210770","536810387","653835351","684468180","552601736","629446981","589579680","653128868",
"China","CHN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4303337959","5247285176","8258761488","13057348532","15821972754","20477372330","24639526471","29598065891","41735539452","49409510874","69226431383","108669366006","163006978639","215928412864","273131515794","302773296976","340117842217","309600892370","406089687684","457106558431","505645680350","560058333865","558599126108","549799008829","496007481292","504380837924","",
"Cote d'Ivoire","CIV","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5527551","4016448","42136266","37373832","70221917","14856856","22898042","24579532","41554103","168098612","156212843","174798333","145012961","137671782","125503542","35470464","155140853","91583887","38666706","72379188","37577573","62131171","87382378","",
"Cameroon","CMR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5652459","","","","","3202883","2475320","1576955","","","825496","903332","1001075","3366269","1798651","1684940","2967180","11281067","9773801","7758715","14232013","26918157","14790526","13286323","26702495","13383768","11447899","28690439","",
"Congo, Dem. Rep.","COD","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1197841","3158121","3769879","","","","","","","","","","","","13531025","53924412","83028009","78784932","76127630","42207351","38020954","47798389","","","84282668","",
"Colombia","COL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126543484","151278799","154926322","161681092","233001161","245419779","284163644","306083595","289147492","330564457","349136631","322444561","297321292","352837891","367212256","353802692","341931813","441258332","462355742","425239837","400794305","516973271","735600970","724222055","793475743","739660247","671901587","",
"Comoros","COM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20015","1873","92808","15279","","3051","6228","3156","36783","182","361","2174","","22369","245482","11471","234350","6521","2591","","","","","",
"Cabo Verde","CPV","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403305","578892","81378","86560","2969","","","297","","","","","","62511","","","331","","","","",
"Costa Rica","CRI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33775275","41977804","29619791","220195579","1188819271","2706840214","1859069884","1071008570","1146425260","1700616695","1309056581","1776832950","2090631242","2530343873","2426063976","1791400685","2193335855","2511568834","2719083321","3065086038","2387759041","861602448","941695593","442615674","",
"Caribbean small states","CSS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29460891","","","27127956","","52546568","45155205","98491709","50709679","22431411","44948983","61667408","62720068","80760872","52656738","24640433","35121479","43127300","83644410","","","","","47025910","",
"Cuba","CUB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34725143","33714156","49650563","65999912","55309003","59379541","113378753","248049451","","","","","","","","","","","","",
"Curacao","CUW","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10644271","13945571","12327849","12360399","7568592","8555259","11302634","13359003","7089036","7364499","6497390","3381252","4124725","3723267","7969306","20597078","40480117","59868188","90755752","117524421","103906924","139021756","101643077","43507160","30802956","29195221","26744645","30454473","52292135","",
"Czech Republic","CZE","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","417095112","509605238","1066292711","1384392842","1564900478","2120501636","2056156946","2175395886","2999276914","5717358878","5927385965","7828890431","8933980026","12080532987","14439623904","17303573135","14251924959","17468785927","23365827816","22007809307","21044498621","23084215820","20792031147","20501476036","21069666188","2094038025",
"Germany","DEU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33640391960","37372441256","42467566168","46424896208","48068793864","42605028136","49515002528","60581521064","60953018867","64074551162","71626993528","77188078910","85541568000","90556490000","93577559000","106203323000","135678154000","146388837000","163169386000","153418544000","159811532000","139960752000","158507039742","183371439118","187015792743","193799440986","199718151684","185556246410","189646012435","171632937844","",
"Djibouti","DJI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116611","","","","","","","","","",
"Dominica","DMA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271375","143869","348726","619511","1492000","","1209213","1873565","1510276","1606816","1634465","1752442","1673309","1815465","1196357","77477","","2757","","1912206","","","","","","",
"Denmark","DNK","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2213757474","2405121599","3255151603","3191576923","3587812275","3255458748","4048539560","4663250471","4899835067","5678362296","5648612310","6487722405","6752348446","6904684053","8313257009","8648725467","9971737472","10163186455","10461505789","11177588910","11444550232","10414112654","8113595952","9359227447","8742028850","9226707230","9762544928","9375393736","9307963573","7456525714","7666289303",
"Dominican Republic","DOM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","826566","1245349","","","","3663000","174472787","169269218","195423789","416046400","289148358","561963491","171267326","79348496","75808632","90873749","124612748","166882779","193265639","185791798","212130912","390318015","",
